id,CK-1,CK-2,CK-3,T-1,T-2,T-3,TH-1,TH-2,TH-3
BraA01000171,29,38,34,131,190,222,18,17,28
BraA01000172,0,0,0,1,1,0,0,0,1
BraA01000173,1,2,0,0,0,0,4,4,4
BraA01000174,397,504,473,1115,1204,1648,394,413,344
BraA01000175,0,0,0.38,0,0,0,0,0,0
BraA01000176,168,243,329.62,226,255,454,158,191,150
BraA01000177,0,0,0,0,0,0,0,0,0
BraA01000178,7,19,36,39,44,29,13,5,12
BraA01000179,10,5,5,4,11,1,20,12,53
BraA01000180,190,245,179,126,170,125,272,213,318
BraA01000181,28,31,21,20,14,14,31,27,42
BraA01000182,0,0,0,0,0,0,0,0,0
BraA01000183,0,0,0,0,0,0,0,0,0
BraA01000184,0,0,0,0,0,0,0,0,0
BraA01000185,59,66,161,142,183,171,91,60,149
BraA01000186,3,7,2,1,1,2,3,2,0
BraA01000187,3,1,10,0,0,0,0,5,0
BraA01000188,0,0,0,0,0,0,0,0,0
BraA01000189,447,521,485,460,521,503,349,331,273
BraA01000190,37,36,49,465,471,483,40,28,36
BraA01000191,46,46,70,151,202,208,49,52,44
BraA01000192,1,1,1,1,0,0,0,0,0
BraA01000193,0,0,0,0,0,0,0,0,0
BraA01000194,0,0,0,0,0,0,0,0,0
BraA01000195,3,2,3,33,11,8,0,1,1
BraA01000196,63,75,76,115,122,139,65,42,68
BraA01000197,10,8,20,7,5,3,13,7,5
BraA01000198,0,0,1,0,2,0,0,0,0
BraA01000199,28,46,49,29,34,30,71,41,71
BraA07001021,134,40.5,33.5,4816.5,6187,6188,90,26.5,79.5
