,T-1,T-2,T-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA09001655,4.5,8.5,9,4,8,26.5,0.512744253345743,-0.807354922057604,Not sig
BraA09001656,139,151,124,2,0.005,3,0.00295783133139791,6.37011688843806,Up
BraA09001657,158.14,216.58,202.37,397.57,369.93,364.17,0.0021062215786888,-0.971585086355012,Not sig
BraA09001658,853.5,1187.5,1356.5,46.5,63,52.5,0.0181769936509131,4.39040783277013,Up
BraA09001659,853.5,1187.5,1356.5,46.5,63,52.5,0.0181769936509131,4.39040783277013,Up
BraA09001660,868.86,1048.42,881.63,1918.43,2221.07,1951.83,0.00151914643474252,-1.1218921678061,Down
BraA09001661,14,19,18,14,38,32,0.264273397812886,-0.719892080807265,Not sig
BraA09001662,1,5,7,2,3,6,0.772351180094656,0.241008099503795,Not sig
BraA09001665,92,197,198,28,33,555,0.830432588470075,-0.339008578612559,Not sig
BraA09001666,86,123,86,74,137,171,0.424428531523641,-0.372857683786545,Not sig
BraA09001667,0.005,0.005,0.005,25,30,12,0.0531614211653758,-12.1249828795113,Not sig
BraA09001668,267,271,345,323,287,214,0.656853733017787,0.0997691004652474,Not sig
BraA09001671,384,630,681,4,3,4,0.0256570981223414,7.26763793938641,Up
BraA09001673,1,1,3,7,7,22,0.172662052355665,-2.84799690655495,Not sig
BraA09001674,1,1,2,0.005,0.005,0.005,0.0575857681940916,8.05889368905357,Not sig
BraA09001675,150.24,109.25,17.69,255.61,427.16,438.67,0.0218368288260764,-2.01645736621514,Down
BraA09001676,410.76,640.75,260.31,851.39,1543.84,1402.33,0.039775761848533,-1.53350298328386,Down
BraA09001677,4421,5942,3922,2718,4036,4751,0.337239948412271,0.312240052712282,Not sig
BraA09001679,104,256,123,257,463,686,0.11745612557441,-1.54150150023676,Not sig
BraA09001680,122,158,135,106,123,124,0.180821944133874,0.233443152963107,Not sig
BraA09001681,15.5,14.5,12,1,0.5,2,0.00236549403783422,3.58496250072116,Up
BraA09001682,2150,2887,2820,1181,882,1757,0.0183476783028477,1.04040592214864,Up
BraA09001684,29,62,16,14,25,26,0.416375737552706,0.719099173372692,Not sig
BraA09001685,361,424,390,135,229,291,0.0470457328265996,0.843093945027549,Not sig
BraA09001688,2,0.005,3,38,37,48,0.00545603761828028,-4.61914443627797,Down
BraA09001689,2,1.33,2,3,1.05,5.13,0.390102676095696,-0.784358620654632,Not sig
BraA09001690,0.005,3.67,0.005,24,24.95,43.87,0.0402150936982215,-4.65665802611318,Down
BraA09001691,148,188,167,662,746,423,0.0428710535289692,-1.86400148599181,Down
BraA09001693,56,105,55,26,66,35,0.227000338642353,0.766202815391303,Not sig
BraA09001695,64,70,49,1471,1281,753,0.0355282666191478,-4.25949889061394,Down
BraA09001696,2,8,4,54,17,102,0.163422376358426,-3.62727330557912,Not sig
BraA09001698,5,7,1,52,32,33,0.0267018487259686,-3.16992500144231,Down
BraA09001701,4,6,16,12,27,6,0.442854787957612,-0.791413378188583,Not sig
BraA09001709,2,5,6,7,13,16,0.0838605498833245,-1.46948528330122,Not sig
BraA09001710,95,136,129,64,77,92,0.0578634660867541,0.627666951675394,Not sig
BraA09001714,156,260,170,559,547,398,0.0115926312972705,-1.35983199725539,Down
BraA09001716,218,230,212,551,577,461,0.0112563944890703,-1.2675811951027,Down
BraA09001718,3,3,4,0.005,0.005,2,0.038401001789479,2.31473259348316,Up
BraA09001719,0.005,1,1,7,6,7,0.000217640147742252,-3.31832585820717,Down
BraA09001720,16,22,22,16,16,29,0.94898069237132,-0.0238467419543676,Not sig
BraA09001721,149,258,191,182,225,324,0.450689041970473,-0.289725921754332,Not sig
BraA09001722,216,229,204,265,360,436,0.105986867227828,-0.709134272915626,Not sig
BraA09001723,3,4,3,0.005,0.005,0.005,0.00988164337511888,9.38082178394093,Up
BraA09001724,57,94,57,28,44,43,0.113624547202894,0.854949667196717,Not sig
BraA09001726,5,7,12,88,68,102,0.0127285584890798,-3.4262647547021,Down
BraA09001727,4337,5117,5685,267,75,70,0.0052548708076597,5.19948176424944,Up
BraA09001730,0.005,0.005,0.005,14,25,22,0.0251031705684208,-11.9896310266165,Down
