,T-1,T-2,T-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA05002862,3,10.06,5,15.7,6,7,0.401966808197086,-0.668252844082192,Not sig
BraA05002863,88,99,135,36,58,87,0.0835397253100617,0.831070991031412,Not sig
BraA05002864,50.75,34.75,21.23,497.83,334.65,223.55,0.0563848122781195,-3.30661316428668,Not sig
BraA05002865,146.64,254.26,150.35,114.86,127.76,157.78,0.288268086778336,0.461264776496252,Not sig
BraA05002866,329,446,410,374,388,639,0.501508205795454,-0.241569896645197,Not sig
BraA05002867,13,21,43,2,5,6,0.138097455339267,2.56634682255381,Not sig
BraA05002868,308.02,445.44,311.34,657.29,829.44,780.24,0.0044221757907639,-1.09018282290434,Down
BraA05002869,924,1438,1325,304,432,831,0.0336753246412447,1.23444223662124,Up
BraA05002870,0.005,4,2,1,3,6,0.514446078716773,-0.735763848956453,Not sig
BraA05002871,4,1.56,5.74,27.61,51.88,48.37,0.0331907404281256,-3.50017032120131,Down
BraA05002872,0.005,0.005,0.005,5,7,9,0.026184257783736,-10.4512111118323,Down
BraA05002873,1084,1269,1064,1583,1814,1386,0.0465309893588555,-0.485185543557037,Not sig
BraA05002875,212.34,261,248.29,136.85,122,114,0.00673251086440147,0.952663974829073,Not sig
BraA05002877,976.84,966.2,1120.78,2247.85,1579.7,904.33,0.287247703212178,-0.627081946392588,Not sig
BraA05002879,132,191,161,37,34,147,0.124906709624293,1.15067891249767,Not sig
BraA05002880,31,31,28,51,45.31,64,0.0474606992574701,-0.832867515821037,Not sig
BraA05002881,8,1.44,2.9,0.005,0.005,1,0.195158793355766,3.61091519639762,Not sig
BraA05002882,40,49,47.76,26.78,38,46,0.260811316863863,0.303948884270074,Not sig
BraA05002883,1684.78,1946.98,1566.93,31375.74,35053.87,19826.69,0.0275742198054332,-4.05240979798915,Down
BraA05002884,52,57,43,7,19,51,0.189928336251432,0.981140972748684,Not sig
BraA05002885,171,191,201,66,78,97,0.00105013525194904,1.22410177585027,Up
BraA05002887,497,566.6,444,2118.21,2073,1803,0.00179931986972439,-1.99131592772248,Down
BraA05002888,316,355.99,267,337,455,735.99,0.235715742576186,-0.702453402875858,Not sig
BraA05002889,444.28,542.4,472.89,912.07,1009.54,895.81,0.000715140942212981,-0.948831242793914,Not sig
BraA05002892,423,462,585,142,121,108,0.0144173472221483,1.98632506310292,Up
BraA05002893,7,4,6,36,31,78,0.102913455560993,-3.09244624876459,Not sig
BraA05002896,5,1,1,1,0.005,1,0.337579586661348,1.80375268537741,Not sig
BraA05002898,81,82,51,224,351,623,0.107164161381631,-2.48494520638764,Not sig
BraA05002899,30,29,23,22,31,34,0.716850721600555,-0.0853914912306447,Not sig
BraA05002901,5,6,0.005,1323,828,1029,0.0180020433251757,-8.17472381005489,Down
BraA05002902,3,0.005,3,1,0.005,2,0.445794969147088,0.998799254994449,Not sig
BraA05002905,82,90,90,89,110,96,0.209594136248177,-0.171148142711753,Not sig
BraA05002906,185,217,154,290,385,597,0.114044672244496,-1.19394188256085,Not sig
BraA05002908,4,1,4,0.005,1,0.005,0.105036958681944,3.15556970846524,Not sig
BraA05002909,31,72,68,21,30,38,0.160611778790641,0.9421190839195,Not sig
BraA05002910,26,21.8,3.1,139.08,109.35,555.72,0.223311066699892,-3.98172707440811,Not sig
BraA05002911,0.005,20.2,11.9,30.92,32.65,97.28,0.181932593841587,-2.32484603217637,Not sig
BraA05002912,22,17,27,33,39,34,0.0239081770489001,-0.683526335204746,Not sig
BraA05002913,160,235,213,202,198,201,0.926135728875027,0.0167063327324,Not sig
BraA05002916,24,60,37,0.005,0.005,0.005,0.0618603034213945,12.9777569263282,Not sig
BraA05002917,90,76,64,82,186,175,0.158642058740476,-0.945672837610643,Not sig
BraA05002919,58,50,45,33,29,25,0.0124362003344378,0.814444346843923,Not sig
BraA05002920,156,171,128,67,60,96,0.010304433025351,1.02882283516575,Up
BraA05002921,203,246,249,310,383,470,0.0670834351881731,-0.736552155263566,Not sig
BraA05002922,0.005,0.005,0.005,69.5,55,16.5,0.0970338597579505,-13.1984450414524,Not sig
BraA05002923,45.91,43.18,72,53.61,39.83,60.77,0.847135889758515,0.0629706162911158,Not sig
BraA05002924,0.005,0.005,0.005,1,0.005,4,0.300231439459847,-8.38226375811484,Not sig
BraA05002925,2,4,13,21,18,14,0.0575637365063353,-1.47999294111961,Not sig
BraA05002926,546,564,420,0.005,0.005,0.005,0.00779727438116628,16.6382096266336,Up
BraA05002927,13,48,26,40,51,110,0.216652253691162,-1.2081081953302,Not sig
BraA05002929,3,3,0.005,4,5,2,0.280424757668366,-0.873267372706388,Not sig
BraA05002930,1.85,7.61,8.95,7.34,20.18,35.29,0.202744631907428,-1.77050464265023,Not sig
BraA05002931,36,53,21,12,26,30,0.276997708359468,0.69389687227432,Not sig
BraA05002932,161,161,159,95,143,175,0.432400157564728,0.219895112350597,Not sig
BraA05002933,45,24,28,1,1,4,0.0394162163173647,4.01495034146597,Up
BraA05002934,302,270,276,388,397,299,0.117778402076562,-0.354228586790672,Not sig
BraA05002935,180.66,220.91,195.96,549.3,499.23,359.47,0.0368007050377054,-1.23656428101653,Down
BraA05002936,2,1,6,2,2,2,0.579915974791597,0.584962500721156,Not sig
BraA05002938,141,145,134,143,149,125,0.907851748475024,0.010341944221459,Not sig
BraA05002939,0.005,2,1,0.005,2,4,0.495500620414831,-0.998799254994449,Not sig
BraA05002940,0.005,0.005,1,0.005,0.78,1.83,0.448166959659289,-1.37245565349515,Not sig
BraA05002941,0.005,2,0.005,0.005,4.22,8.17,0.277004102295648,-2.62449086490779,Not sig
BraA05002942,27,29,17,13,25,40,0.860035263197913,-0.0955776599822311,Not sig
BraA05002943,41,44,45,77,91,150,0.106867369608588,-1.2905151422559,Not sig
BraA05002944,30,43,25,84,111,85,0.00754032020064702,-1.51457317282976,Down
BraA05002946,87,74,88,85,97,113,0.193281869805311,-0.244569212181123,Not sig
BraA05002947,39,46,37,48,34,61,0.470554631170533,-0.229133999215503,Not sig
BraA05002948,2,0.005,0.005,1,0.005,1,0.998354115264088,0.00359326472400825,Not sig
BraA05002949,311,427,389,23,16,20,0.00888906947179827,4.25562875081038,Up
BraA05002950,0.005,0.005,2,0.005,1,3,0.581551514155404,-0.994606741229782,Not sig
BraA05002951,5,4,1,0.005,2,1,0.18255711151936,1.7345631039509,Not sig
BraA05002952,284.15,519.46,318.01,233,367.2,402.2,0.683269868535275,0.1621256601199,Not sig
BraA05002955,3,8,4,1,2,3,0.179096792377107,1.32192809488736,Not sig
BraA05002957,28,42,33,10,9,44,0.368847975018803,0.709220603683302,Not sig
BraA05002958,60,75,69,53,61,53,0.0865838515526508,0.288721049497443,Not sig
BraA05002959,1,0.005,1,1,0.005,1,1,0,Not sig
BraA05002961,107,77,73,73,76,98,0.815662971771993,0.0572573176092007,Not sig
BraA05002962,4,4,6,33,44,45,0.00955858335338938,-3.12338241550528,Down
BraA05002963,309,384,323,431,527,428,0.0418536024354023,-0.448026855365048,Not sig
BraA05002964,1,2,1.09,1,2,0.005,0.619704916381611,0.444735852230563,Not sig
BraA05002968,2,4,2,2.51,2,5,0.684247837950222,-0.249445341085839,Not sig
BraA05002974,64,109,62,0.005,5,2,0.0373909064111067,5.06813189590891,Up
BraA05002975,128,127,114,89,170,181,0.501359533723565,-0.253882707464263,Not sig
BraA05002977,3,1,0.005,2,5,9,0.177271231776789,-1.99819775736601,Not sig
BraA05002978,1,4,4,7,12,9,0.0280737869679419,-1.63742992061529,Down
BraA05002979,12.61,19.3,6.35,0.005,2.23,1,0.0850289360635016,3.5639992563536,Not sig
BraA05002981,518,608,615,652,816,687,0.0913847974198124,-0.307771666325359,Not sig
BraA05002982,14,19,18,31,26,33,0.0091471187544482,-0.819427754358179,Not sig
BraA05002983,2,15,4,10,6,53,0.400549667331895,-1.71620703399941,Not sig
BraA05002986,26.15,19.57,22.14,31.73,39.76,28.22,0.0694253873723774,-0.555176770933049,Not sig
BraA05002987,0.005,0.005,0.005,2,2,12,0.251039681536985,-10.0588936890536,Not sig
BraA05002988,0.005,1,1,0.005,0.005,0.005,0.183503419072274,7.06249592573376,Not sig
BraA05002989,72,99,79,31,101,46,0.380765799873542,0.490050853695689,Not sig
BraA05002990,44,51,38,37,57,49,0.659178653214579,-0.1045889012772,Not sig
BraA05002991,36,46,32,11,14,12,0.0214503250454766,1.62343664853579,Up
BraA05002994,1,0.005,2,0.005,0.005,0.005,0.225662696077777,7.64625867999003,Not sig
BraA05002995,219,262,340,101,73,192,0.0396884326156688,1.16553857349376,Up
BraA05002999,61,62,58,47,55,35,0.122243943689685,0.401813804122679,Not sig
BraA05003001,0.005,0.005,0.005,0.005,1,2,0.225662696077777,-7.64625867999003,Not sig
BraA05003002,210,256,244,197,225,235,0.380525380351337,0.111925654069715,Not sig
BraA05003004,115,138,154,106,108,165,0.703236228834698,0.102830946095155,Not sig
BraA05003005,74,28,41,40,42,73,0.829758949748944,-0.116253068495848,Not sig
BraA05003006,117,135,123,189,168,175,0.00324400389683522,-0.504535650117946,Not sig
BraA05003007,12,16,9,25,34,13,0.187140179350757,-0.960471635813362,Not sig
BraA05003012,293,351,442,40,54,39,0.0171500571707959,3.02952595230317,Up
BraA05003013,6,11,10,2,3,4,0.0453175542504204,1.58496250072116,Up
BraA05003014,22,21,22,24,28,49,0.261628015267402,-0.63584366972334,Not sig
BraA05003015,857.03,730.76,804.64,667.67,761.77,664.05,0.111061684731296,0.19256668682544,Not sig
BraA05003016,8,4,2,16,0.005,0.005,0.914178999391291,-0.193546480683928,Not sig
BraA05003017,13.97,20.24,10.36,12.33,2.23,19.95,0.607095333176981,0.369058487177139,Not sig
BraA05003018,0.005,0.005,0.005,0.005,21,37,0.212912922413379,-11.9169990490828,Not sig
BraA05003019,83,93,73,17,25,17,0.00280370825294995,2.07735888270624,Up
BraA05003021,49,51,41,41,76,60,0.358163527925397,-0.328054197684204,Not sig
BraA05003023,38,55,47,45,42,48,0.773822386911565,0.0524674198941355,Not sig
BraA05003024,1,1,0.005,0.005,0.005,0.005,0.183503419072274,7.06249592573376,Not sig
BraA05003026,7,5,7,2,1,2,0.00871766385980867,1.92599941855622,Up
BraA05003028,10,11,10.91,0.005,2,5,0.0247875480673091,2.18755165284849,Up
BraA05003030,19,29,26,6,22,31,0.576783327006747,0.326810316267108,Not sig
BraA05003031,0.005,1,1,0.005,0.005,0.005,0.183503419072274,7.06249592573376,Not sig
BraA05003032,52,73,63,88,101,92,0.0178473914063607,-0.579837468543289,Not sig
BraA05003033,317.92,360,293,411,680,726,0.0976770643428106,-0.904134086330925,Not sig
BraA05003034,22,26,20,42,53,42,0.0122403997111273,-1.01056924171019,Down
BraA05003035,103,102,86,142,197,193,0.035710496020569,-0.870407092592906,Not sig
BraA05003036,18.02,9.98,27.85,11.55,2.01,0.005,0.0965328543709289,2.04166823308881,Not sig
BraA05003037,15.5,25,20.5,9,12.5,89,0.592583932892844,-0.857165221828545,Not sig
BraA05003038,15.5,25,20.5,9,12.5,89,0.592583932892844,-0.857165221828545,Not sig
BraA05003039,42.98,60.02,33.15,26.45,39.99,57,0.738383076020039,0.141387015360423,Not sig
BraA05003040,138,172,126,230,315,269,0.018824848585821,-0.90070065948932,Not sig
BraA05003045,3,3,3,13,14,12,0.00331675872235686,-2.11547721741994,Down
BraA05003046,40,37,45.45,27,35.4,41,0.2668663354069,0.243956588249044,Not sig
BraA05003049,8.5,13,7.5,6.5,5.5,10,0.345900302400117,0.398549376490275,Not sig
BraA05003050,8.5,13,7.5,6.5,5.5,10,0.345900302400117,0.398549376490275,Not sig
BraA05003053,183,191,235,48,66,107,0.00565330004899326,1.4623958585149,Up
BraA05003054,22,28,28,86,73,59,0.0212703151173935,-1.48278210591468,Down
BraA05003055,30,54,63,27,22,75,0.719565261772976,0.245476034449489,Not sig
BraA05003057,17,23,26,41,35,34,0.0139186765353522,-0.736965594166206,Not sig
BraA05003060,89,108,109,387,423,275,0.0261361851746789,-1.82609148463919,Down
BraA05003061,121,126,126,271,276,193,0.0445368815284435,-0.988349640261075,Not sig
BraA05003062,129,135,159,76,110,56,0.0410710330950133,0.805650615845355,Not sig
BraA05003063,357,455,412,286,471,570,0.727492133094972,-0.116564812677541,Not sig
BraA05003064,100,134,168,18,23,22,0.0282544303656528,2.67377176767901,Up
BraA05003065,87,113,129,98,99,60,0.247564019655506,0.356319224541363,Not sig
BraA05003068,213,255,204,174,234,203,0.434165564332651,0.137288852960031,Not sig
BraA05003071,23,26,25,56,49,45,0.0112359100639837,-1.01936532486693,Down
BraA05003072,195,228,259,376,369,428,0.00336023755330909,-0.782359369004336,Not sig
BraA05003073,637.68,786.34,961,6,1,62,0.0116304601193145,5.1112611921356,Up
BraA05003074,0.005,0.005,1,0.3,0.005,2.47,0.541323110221824,-1.45813247848567,Not sig
BraA05003075,81,157,109,54,76,80,0.165833749414641,0.724546334912138,Not sig
BraA05003077,124,142,140,192,224,193,0.0101290384317737,-0.584962500721156,Not sig
BraA05003080,0.005,1,1,0.005,0.005,0.005,0.183503419072274,7.06249592573376,Not sig
BraA05003081,24,51,34,16,22,25,0.182813359295093,0.79090440127701,Not sig
BraA05003082,175,172,191,389,413,273,0.0512830090750241,-0.998658581920198,Not sig
BraA05003083,74,66,68,3,2,1,0.000736685473389624,5.11547721741994,Up
BraA05003085,56,173,85,27,21,37,0.160065093482225,1.88522981275393,Not sig
BraA05003086,65,102,84,2,8,6,0.0160506096105204,3.97154355395077,Up
BraA05003088,33,30,28,0.005,2,0.005,0.000510241817360423,5.50059913879449,Up
BraA05003089,6,3,0.005,0.005,0.005,0.005,0.225489526322092,9.22961996518512,Not sig
BraA05003091,92,118,130,83,88,119,0.353480574993285,0.229481846122767,Not sig
BraA05003092,64,74,74,64,87,98,0.34419453292462,-0.232081477504882,Not sig
BraA05003093,0.005,0.005,0.005,2,1,1,0.0575857681940916,-8.05889368905357,Not sig
BraA05003094,1,7,2,2,4,15,0.473855601408939,-1.0703893278914,Not sig
BraA05003095,402,346,439,75,85,159,0.00157582536643063,1.89569160587704,Up
BraA05003096,29,24,25,25,37,37,0.215453099490309,-0.343954401217361,Not sig
BraA05003097,299,358,343,250,278,592,0.751665896897482,-0.163498732282879,Not sig
BraA05003098,103,94,78,67,110,95,0.949328471317613,0.0158249671616825,Not sig
BraA05003099,5.43,5.86,0.62,0.005,0.9,0.005,0.157010002272409,3.71016305766542,Not sig
BraA05003101,375,419,413,396,392,414.29,0.92531484369858,0.0056407508427938,Not sig
BraA05003102,9,2,1,99,92,185,0.054763726293095,-4.96962635095648,Not sig
BraA05003103,115,100,97,460,307,468,0.0266649025799665,-1.98489310760979,Down
BraA05003104,105,173,158,152,174,97,0.895045904903289,0.0436704716569768,Not sig
BraA05003105,307,316,312,465,479,824,0.141666764898587,-0.919080004616433,Not sig
BraA05003109,0.005,0.005,0.005,0.005,2.54,3.3,0.190353912791373,-8.6060967138105,Not sig
BraA05003110,12,22,9,21,5.46,143.7,0.434731919130845,-1.98448337348385,Not sig
BraA05003112,21,24,23,15,28,60,0.475057254831274,-0.599037685932879,Not sig
BraA05003113,126,185,152,77,104,95,0.0494771506583144,0.746343926482067,Not sig
BraA05003114,29,25,27,60,43,38,0.0911533693035861,-0.799701349514169,Not sig
BraA05003116,40,22,24,0.005,0.005,0.005,0.0372989164004629,12.4851584437557,Up
BraA05003117,114,103,128,50,46,43,0.00728751275137186,1.31151147894202,Up
BraA05003118,2,3,2,0.005,0.005,2,0.113017151106425,1.8001594206534,Not sig
BraA05003123,15,9,25,0.005,0.005,1,0.0748585907475584,5.60035455113814,Not sig
BraA05003126,0.005,0.005,0.005,2,8,13,0.137576712753259,-10.5824556451106,Not sig
BraA05003128,323,321,351,1198,1347,759,0.0483778102148535,-1.73144525598843,Down
BraA05003130,18,16,30,25,34,27,0.240729687016624,-0.426264754702098,Not sig
BraA05003131,13,12,3,23,37,21,0.0510218288216018,-1.53249508082702,Not sig
BraA05003133,20,11,11,23,50,59,0.0999741402676371,-1.65207669657969,Not sig
BraA05003134,3,1,2,13,13,11,0.000339661637051484,-2.62449086490779,Down
BraA05003135,566,700,672,714,903,638,0.319285408861235,-0.218558862727662,Not sig
BraA05003136,69,90,104,37,61,80,0.15547239467474,0.563185558325905,Not sig
BraA05003137,6,8,7,12,16,11,0.0453175542504204,-0.893084796083488,Not sig
BraA05003138,149,216,132,1153,1337,935,0.0109767820742106,-2.78478623117297,Down
BraA05003139,205.08,253,215.27,83.66,103,146,0.00959397643462047,1.0173081941472,Up
BraA05003140,0.005,2,0.005,18,16,28,0.0295094277657777,-4.94700080898267,Down
BraA05003143,53,46,38,8,13,33,0.0475903257441557,1.34314458079706,Up
BraA05003145,0.96,1,0.005,0.005,3.06,3.13,0.303094943467415,-1.65657496988199,Not sig
BraA05003148,33,23,15,87,155,155,0.0352594589321816,-2.48324807763828,Down
BraA05003149,3,6,8,2,1,13,0.941267229368157,0.0874628412503397,Not sig
BraA05003150,240,156,271,28,24,37,0.0290570989268736,2.90580952021819,Up
BraA05003155,1,2.84,1.03,0.005,0.005,0.005,0.117033710244437,8.34281546136119,Not sig
BraA05003158,34.02,31.32,45.39,23.89,19.08,34.83,0.159286402794459,0.509204083093211,Not sig
BraA05003160,1,0.005,2,2,0.005,0.005,0.725680205813053,0.580169489532257,Not sig
BraA05003173,11.28,25.41,12.79,10.47,16.17,16.95,0.718522886396121,0.182848296622372,Not sig
BraA05003175,3,9.56,7.85,0.005,0.005,2.28,0.0766010870291569,3.15585667893578,Not sig
BraA05003181,27,51.44,43.15,2,11,7.72,0.0307990441095269,2.55292867308144,Up
BraA05003182,7.67,7.11,11.79,8.48,5.26,10.22,0.69598377038617,0.149170319701721,Not sig
BraA05003183,7,5,7,7,18,15,0.162062208257671,-1.07400058144378,Not sig
BraA05003184,37,48,39,113,112,66,0.0635245879038651,-1.23067903252141,Not sig
BraA05003185,23,60,47,263,354,193,0.034119713893537,-2.63941028474353,Down
BraA05003186,94,143,118,59,80,165,0.666469343210561,0.223747700948459,Not sig
BraA05003188,109,167,155,398,457,338,0.00723538355437056,-1.46883426860613,Down
BraA05003189,95,105,111.95,94.1,133,178.73,0.328287252898423,-0.379560707342434,Not sig
BraA05003190,19,18,37,63,58,53,0.0186340676134829,-1.23349013021978,Down
BraA05003193,0.005,0.005,0.05,0.9,0.005,1.27,0.201080940914147,-5.17990909001493,Not sig
BraA05003195,52,50,48,84,83,49,0.194871715665317,-0.526068811667588,Not sig
BraA05003197,11,14,12,17,14,6,1,0,Not sig
BraA05003198,66,88,89,381,378,113,0.141246404271855,-1.84337182117115,Not sig
BraA05003199,0.005,0.005,1,3,1,3,0.0767981749530695,-2.79299962908053,Not sig
BraA05003200,78,92,50,59,102,173,0.374942283619227,-0.602344578949393,Not sig
BraA05003202,119.51,139.38,115.71,184.63,159.94,341.81,0.207983563511808,-0.873656616075277,Not sig
BraA05003204,305.13,533.19,324.08,541.05,769.21,967.37,0.0742932572748616,-0.970426792816742,Not sig
BraA05003205,87.69,127.23,88.21,140.01,162.53,297.99,0.175726185683352,-0.986299679797938,Not sig
BraA05003206,20,41,33,68,88,76,0.00554624454759783,-1.30339214344993,Down
BraA05003207,31,79,8,733,581,1340.84,0.0666521108355814,-4.49176615163582,Not sig
BraA05003210,8,6,0.005,41,30,85,0.103459077624488,-3.47753214056247,Not sig
BraA05003211,1,2,0.005,3,2,16,0.314269975557661,-2.8049524318423,Not sig
BraA05003212,1.5,0.5,1,0.5,0.005,0.005,0.0832072912090048,2.55639334852439,Not sig
BraA05003223,25,24,41,25,31,30,0.836329196990557,0.0655883416275766,Not sig
BraA05003224,115,178,174,61,86,94,0.04716284597788,0.9543894034797,Not sig
BraA05003225,145,110,76,315,139,63,0.497183366413321,-0.643333063507717,Not sig
BraA05003226,5,4,3,10,9,9,0.0032126957994822,-1.22239242133645,Down
BraA05003227,348,370,438,446,347,284,0.659499384409127,0.102123147956471,Not sig
BraA05003231,0.005,4.58,1,0.005,3,2,0.913060035147417,0.158187211647321,Not sig
BraA05003232,112,133,80,116,168,296,0.248931842893484,-0.835613182099118,Not sig
BraA05003233,0.005,0.5,0.005,0.5,0.5,0.005,0.518518518518518,-0.978626349207433,Not sig
BraA05003234,0.005,1,0.005,4,2,7,0.10403184281189,-3.68608442516402,Not sig
BraA05003235,14,44,25,250,116,183,0.0506437740623836,-2.72562290765827,Not sig
BraA05003236,0.005,0.5,0.005,0.5,0.5,0.005,0.518518518518518,-0.978626349207433,Not sig
BraA05003239,2,2,5,2,5,6,0.44330487975018,-0.53051471669878,Not sig
BraA05003240,54,76,54,61,67,100,0.370620207849906,-0.309328058107729,Not sig
BraA05003241,2,11,4,6,10,9,0.44244055652063,-0.556393348524385,Not sig
BraA05003242,13,12,13,14,19,28,0.201438155667336,-0.682809824119301,Not sig
BraA05003243,31,36,29,0.005,0.005,2,0.00219032560302821,5.57776699931695,Up
BraA05003244,8,11,11,5,10,6,0.186961874094928,0.514573172829758,Not sig
BraA05003245,63,66,73,81,74,128,0.250226046045287,-0.486446760080088,Not sig
BraA05003246,44.5,41.5,45,24.5,26,17,0.00911725332717068,0.956607404486619,Not sig
BraA05003247,134,183,176,2,4,2,0.00874068025337755,5.94544383637791,Up
BraA05003249,44.5,41.5,45,24.5,26,17,0.00911725332717068,0.956607404486619,Not sig
BraA05003251,191,229,200,8,2,3,0.00260574401478148,5.57568468713315,Up
BraA05003252,20,23,15,15,25,35,0.438207575543402,-0.370837695368309,Not sig
BraA05003253,25,20,33,1,0.005,0.005,0.020411916667844,6.27104692588518,Up
BraA05003255,167,217,164,160,239,230,0.429353956309303,-0.198884123918763,Not sig
BraA05003256,123,172,18,419,421,547,0.00456018157462632,-2.14773322539098,Down
BraA05003257,6,7,3,3,6,9,0.769471441574571,-0.169925001442312,Not sig
BraA05003259,221.78,289,275,229,271,215,0.425407589918315,0.13618220629751,Not sig
BraA05003261,59,95,69,125,135,97,0.04625750087095,-0.678880364108795,Not sig
BraA05003262,1220.32,1711.41,1559.33,1447.07,1482.29,1966.8,0.576132001534921,-0.124594707685391,Not sig
BraA05003263,11,7,4,5,10,5,0.812462673340558,0.137503523749935,Not sig
BraA05003264,11,23,19,6,14,12,0.185825044503109,0.727920454563199,Not sig
BraA05003265,3,3,2,0.005,0.005,0.005,0.015324175803668,9.05889368905357,Up
BraA05003266,18,26,17,15,30,48,0.381407241599208,-0.608421473545145,Not sig
BraA05003267,31,35,30,29,47,101,0.338173540886536,-0.882643049361841,Not sig
BraA05003268,53,58,36,72,55,99,0.165451367359602,-0.620506617578823,Not sig
BraA05003276,88,106,118,105,81,162,0.676252738950422,-0.15754127698648,Not sig
BraA05003278,8,6.5,6,78,57.5,31.5,0.0679510363911393,-3.02615228785597,Not sig
BraA05003279,59.47,59.55,65.59,19.8,17.74,16.64,0.000446447881327484,1.76864840470848,Up
BraA05003281,8,6.5,6,78,57.5,31.5,0.0679510363911393,-3.02615228785597,Not sig
BraA05003282,105.53,149.45,158.41,62.2,72.26,42.36,0.0228264831452504,1.22522202376203,Up
BraA05003283,2,2,5,3,1,7,0.762870559846747,-0.289506617194985,Not sig
BraA05003285,1,2,2,6,7,13,0.0820035132633091,-2.37851162325373,Not sig
BraA05003287,2,4,2,2,3,6,0.517571465388921,-0.459431618637297,Not sig
BraA05003288,19,16,18,47,76,33,0.112653320810541,-1.55748176429905,Not sig
BraA05003289,48,33,33,59,84,107,0.0684485072463856,-1.13289427049735,Not sig
BraA05003291,155,188,154,258,325,268,0.0148083779203643,-0.775913280123677,Not sig
BraA05003292,26,46.75,22,57,120,103.82,0.0656984311569759,-1.56744783964392,Not sig
BraA05003294,11,19,16,23,37,41,0.0615337578465288,-1.13464952669478,Not sig
BraA05003295,0.005,0.005,0.005,1,2,0.005,0.225662696077777,-7.64625867999003,Not sig
BraA05003296,0.005,0.005,0.005,1,1,0.005,0.183503419072274,-7.06249592573376,Not sig
BraA05003298,4,2,1,5,0.005,1,0.86206926481599,0.221190676126695,Not sig
BraA05003299,162,190,175,323,399,287,0.0335353665141883,-0.937051307469143,Not sig
BraA05003301,56,57,79,4,5,3,0.0148619638185111,4,Up
BraA05003302,1374.5,1629,1693.5,115.5,102.5,163.5,0.00352522797487996,3.62198463142326,Up
BraA05003303,1374.5,1629,1693.5,115.5,102.5,163.5,0.00352522797487996,3.62198463142326,Up
BraA05003304,233.57,237.57,248.61,259.15,314.47,330.12,0.0985694853868492,-0.328411894756123,Not sig
BraA05003307,124,143,158,48,75,67,0.00398525140518996,1.16146342269412,Up
BraA05003309,27,44,47,39,35,70,0.541556012271143,-0.287281952080471,Not sig
BraA05003310,0.005,1,0.005,3,3,9,0.141516596029951,-3.89253530263145,Not sig
BraA05003311,10,7,15,2,8,15,0.630783024479376,0.356143810225275,Not sig
BraA05003314,11,17,26,5,3,14,0.12972155850052,1.29545588352617,Not sig
BraA05003315,47,60,41,43,44,33,0.243891521672726,0.302562770020431,Not sig
BraA05003316,372,404,529,88,147,142,0.0136244412171344,1.79141337818858,Up
BraA05003317,1,1,0.005,2,1,4,0.191133450227614,-1.80375268537741,Not sig
BraA05003319,0.005,1.56,3.1,0.005,0.005,0.005,0.224904722016095,8.2807707701306,Not sig
BraA05003321,36,44,52,60,64,48,0.116229313299536,-0.381870635343645,Not sig
BraA05003322,2,5,2,1,3,2,0.446539023334613,0.584962500721156,Not sig
BraA05003323,38,30,35,20,11,21,0.0151055945586238,0.986060809042126,Not sig
BraA05003324,3914,2127,8161,888,925,1000,0.167886701128921,2.33591265414107,Not sig
BraA05003325,98,120,101,226,258,200,0.00980471720670766,-1.10043990112103,Down
BraA05003326,47,59,29,171,159,320,0.07634249568516,-2.26748031086499,Not sig
BraA05003327,64,55,67,97,127,96,0.0362676163978517,-0.782769283779331,Not sig
BraA05003329,207,223,217,254,344,398,0.107619658864473,-0.622380030075573,Not sig
BraA05003333,10,17,7,23,27,37,0.0304388175924536,-1.35548065459839,Down
BraA05003334,27,33,40,31,45,43,0.33484316077336,-0.250961573533219,Not sig
BraA05003335,502,630,520,765,1078,1088,0.0430418075279601,-0.827179281270096,Not sig
BraA05003338,4,10,9,4,4,17,0.897384421901355,-0.120294233717712,Not sig
BraA05003339,4,9,8,12,11,31,0.229146207949899,-1.36257007938471,Not sig
BraA05003341,57,64,57,83,68,78,0.0414139388359661,-0.363470357130546,Not sig
BraA05003347,434,466,493,163,231,207,0.000614805251719371,1.21275836189007,Up
BraA05003348,805,1012,869,1031,1766,1827,0.12053818805882,-0.783682093073236,Not sig
BraA05003349,108,128,105,209,288,186,0.059471082088638,-1.00211383926592,Not sig
BraA05003350,682,918,671,1583,1719,1257,0.0144863865367535,-1.00538970315788,Down
BraA05003352,150,198,177,63,97,150,0.0862652052192574,0.760049207279248,Not sig
BraA05003353,104,155,135,49,53,77,0.0216931432300067,1.13823604219212,Up
BraA05003357,7,7,5,10,15,5,0.331033722169609,-0.658963082164933,Not sig
BraA05003363,5,4,15.54,8,18,11,0.431927397824928,-0.592390021740769,Not sig
BraA05003364,4,2,7,0.005,0.005,0.005,0.0966291998912722,9.75933340719466,Not sig
BraA05003365,290,286,216,180,173,839,0.608081142772015,-0.589811900382552,Not sig
BraA05003366,1,0.005,0.005,1,1,1,0.183503419072274,-1.57060720774409,Not sig
BraA05003367,43,53,49,48,59,37,0.965128802564255,0.00998408857262207,Not sig
BraA05003368,250,252,390,90,117,125,0.0502282890963492,1.42586046857338,Not sig
BraA05003369,65,78,79,56,83,52,0.410605932117478,0.216987038314357,Not sig
BraA05003370,31,35,29,2,7,2,0.000327984924136416,3.11042398969365,Up
BraA05003371,80,106,93,161,183,134,0.0249817050806928,-0.776745496151561,Not sig
