,TH-1,TH-2,TH-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
XLOC_005471,1,3,4,10,7,18,0.102612192418778,-2.12928301694497,Not sig
XLOC_005503,6,5,8,3,7,3,0.288636026177249,0.547487795302493,Not sig
XLOC_005531,60,33,66,47,8,57,0.440965441273151,0.505528033226751,Not sig
XLOC_005635,10,8,6,2,6,7,0.197460342557663,0.678071905112638,Not sig
XLOC_005663,6,0.005,360,35,0.005,5,0.457824313386385,3.19361112660071,Not sig
XLOC_005898,12,5,38,18,12,14,0.751695260832099,0.321928094887362,Not sig
XLOC_005945,384,270,265,419,428,647,0.10658108475128,-0.701043381500203,Not sig
XLOC_006001,20,4,7,2,2,5,0.271804695934553,1.78427130894456,Not sig
XLOC_006018,1,2,2,1,2,4,0.538386246627506,-0.485426827170242,Not sig
XLOC_006019,2,6,3,2,7,3,0.872595232593876,-0.125530882083859,Not sig
XLOC_006073,4,11,3,39,15,88,0.192753930287482,-2.97982211806237,Not sig
XLOC_006123,97,157,83,241,228,166,0.0375053797174103,-0.91400800047767,Not sig
XLOC_006136,69,118,71,125,107,109,0.219803992828788,-0.402400673600918,Not sig
XLOC_006180,20,4,5,15,19,6,0.602293145541677,-0.46394709975979,Not sig
XLOC_006224,44,40,60,54,53,41,0.866882523552982,-0.0395283641866375,Not sig
XLOC_006225,499,517,582,462,441,265,0.13569114644025,0.45222713404796,Not sig
XLOC_006236,39,33,47,28,36,80,0.661731218085626,-0.275107238134369,Not sig
XLOC_006253,6,0.005,4,0.005,1,0.005,0.228216527575196,3.30829396915395,Not sig
XLOC_006281,184,144,178,150,186,214,0.551782507910751,-0.120294233717712,Not sig
XLOC_006337,1,3,0.005,2,4,4,0.149938329515088,-1.32012585225338,Not sig
XLOC_006364,3,0.005,1,0.005,2,2,1,0,Not sig
XLOC_006448,193.76,187.3,176.26,168.68,223.53,183.55,0.749411156241109,-0.0469616365284238,Not sig
XLOC_006501,1.24,14.7,12.74,4.32,4.47,9.45,0.5049167661196,0.652939294537163,Not sig
XLOC_006508,129,157,124,126,177,170,0.340350375477183,-0.206216273833949,Not sig
XLOC_006592,0.005,35,69,2,0.005,31,0.367496955673133,1.65589638385436,Not sig
XLOC_006610,0.005,0.005,2,3,1,2,0.206870753903405,-1.57776699931695,Not sig
XLOC_006677,15,23,17,17,25,45,0.328071946137149,-0.661583782324069,Not sig
XLOC_006748,21,28,40,25,13,16,0.164339312419183,0.720845928802929,Not sig
XLOC_006810,13,5,13,19,9,2,0.956249644822846,0.0473057147783568,Not sig
XLOC_006848,997,1092,990,780,1103,960,0.495847606421839,0.11504776836729,Not sig
XLOC_006861,3597,1183,864,3377,2964,1105,0.618378615026932,-0.399747628254249,Not sig
XLOC_006895,79,55,77,61,90,107,0.38196713409293,-0.290128066716069,Not sig
XLOC_007033,10,9,10,15,15,10,0.154201792475685,-0.46394709975979,Not sig
XLOC_007127,26,34,32,20,32,24,0.287996593731343,0.275634442613428,Not sig
XLOC_007132,9,6,0.005,7,13,2,0.603937460153977,-0.552060204813734,Not sig
XLOC_007148,1,1,0.005,1,0.005,2,0.648507896794981,-0.583762754256265,Not sig
XLOC_007154,119,142,160,177,198,170,0.0528285745216282,-0.372435996597892,Not sig
XLOC_007191,18,13,22,13,19,16,0.626219296274055,0.142957953842043,Not sig
XLOC_007205,1,5,2,10,2,6,0.290186187061628,-1.16992500144231,Not sig
XLOC_007354,3,0.005,1,4,2,1,0.468000079811979,-0.805552679423619,Not sig
XLOC_007419,0.005,7,0.005,5,0.005,3,0.910772198293682,-0.191486958505634,Not sig
XLOC_007537,2,5,0.005,2,1,2,0.693829731717228,0.486456955768731,Not sig
XLOC_007573,46,51,43,48,54,48,0.340398440190088,-0.0995356735509146,Not sig
XLOC_007703,3.88,0.005,0.005,9,0.005,6.73,0.282584293963371,-2.01613511831223,Not sig
XLOC_007751,45.95,12,6.55,172.12,16.41,58.04,0.321138368100336,-1.93462621306994,Not sig
XLOC_007813,0.005,1,0.005,1,0.005,2,0.386643207845422,-1.57300969795939,Not sig
XLOC_007898,13,21,18,21,25,27,0.0797028768215366,-0.489384840738925,Not sig
XLOC_007899,1,3,1,0.005,1,2,0.493179665087054,0.734563103950902,Not sig
XLOC_007973,10,6,19,24,0.005,14,0.907425585768709,-0.118834312305865,Not sig
XLOC_007974,382,431,456,349,467,205,0.390793591796845,0.313709202963304,Not sig
XLOC_008004,1,1,0.005,1,1,1,0.422649730810374,-0.581360264040961,Not sig
XLOC_008017,8,4,13,18,5,135,0.395754918521912,-2.65992455840238,Not sig
XLOC_008043,75,74,67,68,101,80,0.372845114459903,-0.205114429904612,Not sig
XLOC_008061,2,5,7,1,5,3,0.422346529931833,0.637429920615292,Not sig
XLOC_008227,11,8,0.005,14,3,32,0.361992176460701,-1.36640272402797,Not sig
XLOC_008256,77,98,100,83,82,69,0.202705967210513,0.232923088828617,Not sig
XLOC_008257,97,78,109,56,89,52,0.126162731849106,0.527695300048306,Not sig
XLOC_008265,9,9,13,9,17,15,0.308914300861674,-0.403355694231208,Not sig
XLOC_008269,2,0.19,0.005,12,1.28,0.005,0.434312322813826,-2.59750538295515,Not sig
XLOC_008361,18,10,8,20,15,58,0.294886476297388,-1.36923380966572,Not sig
XLOC_008455,177,108,160,120,156,102,0.44395886780722,0.235419101632688,Not sig
XLOC_008466,12,19,58,10,18,25,0.49496315835811,0.747812976403198,Not sig
XLOC_008467,88,89,175,62,55,54,0.170564470290635,1.0415791037514,Not sig
XLOC_008468,26,25,47,16,16,17,0.150198879594918,1,Not sig
XLOC_008470,9,4,27,6,8,21,0.854024285766527,0.192645077942396,Not sig
XLOC_008490,19,9,32,11,12,24,0.615954994915539,0.352301743930881,Not sig
XLOC_008501,1,2,1,12,20,15,0.0236018725031573,-3.55458885167764,Down
XLOC_008548,23,43,29,61,38,53,0.102830002532336,-0.678071905112638,Not sig
XLOC_008549,0.005,0.005,0.005,0.005,1,1,0.183503419072274,-7.06249592573376,Not sig
XLOC_008583,5,0.005,2,1,4,4,0.72743853924372,-0.361539950786219,Not sig
XLOC_008644,5,2,9,10,15,17,0.0406776741703601,-1.39231742277876,Down
XLOC_008801,142,98,66,103,177,342,0.271348716270373,-1.02338292743795,Not sig
XLOC_008822,26,26,31,16,13,40,0.642180050436067,0.266514974568756,Not sig
XLOC_008856,316,361,304,332,374,482,0.259047495238245,-0.276209794581527,Not sig
XLOC_008874,351,298,300,321,307,567,0.435066929196031,-0.332530625847002,Not sig
XLOC_008876,13,2,11,6,10,6,0.741559021798248,0.241008099503795,Not sig
XLOC_008898,122,58,60,72,99,204,0.394474399604271,-0.643856189774725,Not sig
XLOC_009019,0.005,1,1,0.005,1,4,0.496547928004105,-1.31976783238107,Not sig
XLOC_009073,6,1,3,1,5,2,0.742115684129774,0.321928094887363,Not sig
XLOC_009098,36,24,18,42,26,132,0.34250084720985,-1.35845397091248,Not sig
XLOC_009107,6,9,4,6,5,3,0.393147957643429,0.440572591385981,Not sig
XLOC_009160,84,2,0.005,47,183,0.005,0.492499598108643,-1.4191727836566,Not sig
XLOC_009195,38,36,31,37,66,47,0.21532195900713,-0.514573172829758,Not sig
XLOC_009222,1,10,4,8,12,8,0.241097123433753,-0.900464326449086,Not sig
XLOC_009227,14,14,8,16,16,26,0.14792733094125,-0.68805599368526,Not sig
XLOC_009230,119,88,109,87,99,101,0.413094385518783,0.138873821501415,Not sig
XLOC_009407,46,35,37,42,38,49,0.476072778207627,-0.128584206061413,Not sig
XLOC_009437,2488,2487,2105,1764,2340,2216,0.312618432533846,0.163824801905894,Not sig
XLOC_009470,0.005,0.005,0.005,1,1,0.005,0.183503419072274,-7.06249592573376,Not sig
XLOC_009512,8,10,5,4,2,15,0.888263258884499,0.131244533278253,Not sig
XLOC_009519,12,31,19,16,18,9,0.383034826471206,0.527931555684777,Not sig
XLOC_009538,8.48,8.64,2.26,1.12,10.7,0.005,0.568720896316592,0.712728387188324,Not sig
XLOC_009543,0.005,0.005,5,1,1,2,0.859946868954372,0.324810603420484,Not sig
XLOC_009548,113,52,0.005,69,94,16,0.913247096930451,-0.11744984564928,Not sig
XLOC_009559,55,84,77,44,75,26,0.244834472227004,0.574978412148534,Not sig
XLOC_009600,47,44,65,44,66,77,0.433763464294084,-0.261492241025388,Not sig
XLOC_009636,1,4,2,5,4,13,0.215265560506429,-1.65207669657969,Not sig
XLOC_009706,0.005,0.005,0.005,1,4,0.005,0.300231439459847,-8.38226375811484,Not sig
XLOC_009729,1,0.005,2,2,4,0.005,0.495500620414831,-0.998799254994449,Not sig
XLOC_009791,33,21,61,36,36,57,0.755345462888594,-0.165737204478879,Not sig
XLOC_009838,85,76,103,54,66,48,0.0350816066161862,0.652076696579693,Not sig
XLOC_010033,0.005,3,4,0.005,2,0.005,0.308716839814696,1.80118954925189,Not sig
XLOC_010096,856,589,936,653,940,575,0.666236794867681,0.135202863916462,Not sig
XLOC_010171,2,2,0.005,0.005,0.005,2,0.518518518518519,0.994606741229781,Not sig
XLOC_010186,0.005,14,2,4,0.005,3,0.568206874427338,1.19206572111476,Not sig
XLOC_010306,3.37,0.005,0.45,19.81,1.59,10.96,0.208813756783456,-3.08067995484996,Not sig
XLOC_010310,1,0.005,0.005,3,2,5,0.0623890338213025,-3.30757280191029,Not sig
XLOC_010312,1,0.005,0.005,7,0.005,1,0.397822504819434,-2.98654610976446,Not sig
XLOC_010313,0.005,0.005,0.005,1,0.005,2,0.225662696077777,-7.64625867999003,Not sig
XLOC_010332,14,11,12,0.005,4,0.005,0.00386098821816751,3.20585112894875,Up
XLOC_010375,14,17,3,4,19,18,0.735978693320002,-0.270089163367744,Not sig
XLOC_010470,30,19,47,27,47,27,0.882136991131314,-0.0732489820306385,Not sig
XLOC_010582,48.53,6.52,22.02,45,60.8,12.03,0.512685544064206,-0.612465605922829,Not sig
XLOC_010596,97,84,100,78.97,103,79,0.523845240807384,0.106686160198254,Not sig
XLOC_010855,1,23,5,2,0.005,4,0.374785265398047,2.27181674919666,Not sig
XLOC_010942,1,0.005,0.005,0.005,1,13,0.408593468668617,-3.79351478532271,Not sig
XLOC_011133,14,107,86,34,80,11,0.479099198319159,0.727702672837238,Not sig
XLOC_011173,35,26,9,20,58,128,0.286064627518675,-1.55721751023825,Not sig
XLOC_011181,1,4,4,2,6,0.005,0.879887673910862,0.16902359870078,Not sig
XLOC_011209,363,217,184,273,323,482,0.28011095298585,-0.496712634716757,Not sig
XLOC_011211,25,34,53,43,62,27,0.637515515403546,-0.237039197300849,Not sig
XLOC_011310,294,277,420,303,442,462,0.345777617522149,-0.284468713568533,Not sig
XLOC_011314,263,253,325,222,282,263,0.440255208514546,0.132879222752211,Not sig
XLOC_011381,168,185,172,225,382,286,0.113491331476551,-0.766342752567738,Not sig
XLOC_011410,1,1,5,0.005,2,0.005,0.347198936516863,1.8001594206534,Not sig
XLOC_011466,82,64,57,58,89,129,0.360557923874367,-0.443188539592993,Not sig
XLOC_011485,4.12,0.005,14,0.005,18,5.27,0.81293856185994,-0.360800172656497,Not sig
XLOC_011544,114,116,94,79,126,108,0.827080794380215,0.0498311559520066,Not sig
XLOC_011649,31,25,26,57,26,66,0.204320821551209,-0.861616515844078,Not sig
XLOC_011682,123,96,168,80,84,58,0.106043760866097,0.801773889794304,Not sig
XLOC_011773,92,22,17,55,88,107,0.250006101153237,-0.932361283124637,Not sig
XLOC_011800,87,82,80,86,54,36,0.236359548090295,0.500570313430784,Not sig
XLOC_011839,0.005,4,0.005,2,0.005,1,0.833639309020261,0.416237245743735,Not sig
XLOC_011845,19,8,18,5,3,14,0.191093930282621,1.03242147769238,Not sig
XLOC_011862,505,212,247,344,510,721,0.229202269064867,-0.70824677704468,Not sig
XLOC_011875,6,10,13,11,8,9,0.890605265384955,0.0506260730699678,Not sig
XLOC_011956,2892.87,1787.81,3745.82,1146.33,1889.56,2654.27,0.275160690020193,0.566464303246457,Not sig
