	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA02001699	2	5	9	0.005	7	2	0.467201200456814	0.829273723868449	Not sig
BraA02001700	2	1	0.005	5	4	11	0.113959613005154	-2.7345631039509	Not sig
BraA02001703	219	136	192	57	34	23	0.0164713717154634	2.26250700862782	Up
BraA02001704	6	0.005	0.005	3	6	1	0.621476491356888	-0.734563103950902	Not sig
BraA02001705	45	13	7	33	22	25	0.717808096862512	-0.299560281858908	Not sig
BraA02001707	2	1	0.005	5	6	9	0.0260105161895338	-2.7345631039509	Down
BraA02001710	9	13	9	1	0.005	1	0.0142597174010666	3.95059407370668	Up
BraA02001711	48	53	33	22	22	20	0.05872762324635	1.06608919045777	Not sig
BraA02001712	189	191	208	105	142	216	0.329110798613737	0.344803961576128	Not sig
BraA02001713	83	90	78	25	27	29	0.00172246540796898	1.63169355106615	Up
BraA02001714	48	17	20	23	34	27	0.976843859829797	0.0170735133589414	Not sig
BraA02001715	392	374	513	231	228	243	0.0464430870338882	0.865473328577076	Not sig
BraA02001716	174.47	201.3	155.83	59.06	69.14	50	0.00562204215402321	1.57684376775425	Up
BraA02001717	7.53	35.7	25.17	4.94	9.86	0.005	0.151402244795894	2.20791183459571	Not sig
BraA02001719	4	3	9	5	3	8	1	0	Not sig
BraA02001721	72.29	67	84	50	88	63	0.589504283690413	0.15172314038109	Not sig
BraA02001722	364	201	230	356	443	423	0.0862465321140348	-0.620217519647012	Not sig
BraA02001725	1	5	3	1	1	2	0.283236127769778	1.16992500144231	Not sig
BraA02001726	2	4	0.005	0.005	0.005	0.005	0.225532721242951	8.64505793498448	Not sig
BraA02001727	1.18	0.005	5.39	22.62	9.26	15.23	0.0564449262748877	-2.84097053248826	Not sig
BraA02001729	85	57	141	112	216	188	0.125586445486133	-0.866569012591372	Not sig
BraA02001732	100	64	127	53	56	57	0.149279269130401	0.809835911561359	Not sig
BraA02001734	5	24	10	0.005	1	0.005	0.155382436443713	5.27104692588518	Not sig
BraA02001737	4	7	41	8	15	24	0.905356384130868	0.145850866463455	Not sig
BraA02001738	92	74	116	132	185	166	0.0297128747318567	-0.77632802643698	Not sig
BraA02001741	17	8	22.5	35	51	51.5	0.0136312657516244	-1.53343220008107	Down
BraA02001743	0.005	0.01	0.29	0.005	0.3	0.005	0.990820786360139	-0.0234589728239891	Not sig
BraA02001744	17	8	22.5	35	51	51.5	0.0136312657516244	-1.53343220008107	Down
BraA02001745	7	3.99	22.71	6	5.7	8	0.506418021971943	0.774552961725482	Not sig
BraA02001746	29	26	35	26	40	54	0.342195114378298	-0.415037499278844	Not sig
BraA02001747	0.005	0.005	0.005	924.58	454.98	648.19	0.038324239246106	-17.0445577680722	Down
BraA02001748	0.005	1	0.005	1657.44	761.02	1094.81	0.046464826422393	-11.7642434457553	Down
BraA02001749	33.5	40.5	36	54.5	54.5	73.5	0.0510894200274558	-0.73039294024272	Not sig
BraA02001750	6	9	5.5	5.5	9.5	11.5	0.399618345998241	-0.370368449945116	Not sig
BraA02001751	6	9	5.5	5.5	9.5	11.5	0.399618345998241	-0.370368449945116	Not sig
BraA02001752	33.5	40.5	36	54.5	54.5	73.5	0.0510894200274558	-0.73039294024272	Not sig
BraA02001754	0.005	0.005	0.005	4	11	0.005	0.260192848363845	-9.96626510287713	Not sig
BraA02001755	201	181	324	131	164	139	0.174737719938265	0.701973140826701	Not sig
BraA02001756	1	1	9	14	7	13	0.092858995736448	-1.62803122261304	Not sig
BraA02001760	619.02	624.28	562.01	264.43	349.35	282.87	0.000994208227003782	1.00962973579876	Up
BraA02001761	42	58	60	9	7	5	0.0121707843414753	2.9296106721086	Up
BraA02001766	12	21	1	0.005	0.005	0.005	0.189218487139175	11.1463565303039	Not sig
BraA02001767	29	10	1	10	7	5	0.544501561766906	0.862496476250065	Not sig
BraA02001768	9	12	19	23	37	56	0.107180279892114	-1.53605290024021	Not sig
BraA02001769	137	131	141	151	186	189	0.0782504000689306	-0.362961956350553	Not sig
BraA02001772	1326.37	1077.41	1556.2	677.1	843.74	739.56	0.0424688244447352	0.808915049646578	Not sig
BraA02001776	14	7	6	6	12	4	0.657054360608916	0.295455883526171	Not sig
BraA02001777	138	106	127	55	69	71	0.0111594673077991	0.927945062871193	Not sig
BraA02001778	82	63	69	73	125	113	0.166172898420069	-0.539303783729456	Not sig
BraA02001779	49	62	56	43	47	58	0.341608488894252	0.174250926845102	Not sig
BraA02001781	2	0.005	0.005	104	42	32	0.121027437210726	-6.46853792956219	Not sig
BraA02001784	28	33	19	9	1	6	0.0178600091836481	2.32192809488736	Up
BraA02001785	85	85	94	62	79	61	0.0516734258804498	0.386182636606659	Not sig
BraA02001786	0.005	2	2	0.005	0.005	0.005	0.183503419072274	8.06069593168755	Not sig
BraA02001788	48	36	29	322	430	433	0.00905308095152054	-3.39049238137043	Down
BraA02001790	419	367	353	105	140	114	0.00138355815847708	1.66571199788506	Up
BraA02001791	313	261	99	1925	2141	2196	8.89057307012745e-05	-3.21794509852835	Down
BraA02001792	63.01	54.36	23.23	295.66	328.84	422.97	0.0100148842204645	-2.8972404255748	Down
BraA02001793	58.66	45.64	31.77	324.29	478.31	517.74	0.0201506694960036	-3.2784885558252	Down
BraA02001794	432	493	306	215	179	395	0.166620210086263	0.641733556470999	Not sig
BraA02001795	183	179	230	109	140	143	0.0341286062586641	0.594743521513742	Not sig
BraA02001796	146	196	227	219	234	221	0.274271762130888	-0.244319938875277	Not sig
BraA02001797	147	198	191	84	120	97	0.0198911473691237	0.83246951369807	Not sig
BraA02001798	168	294	178	162	168	210	0.505213927876518	0.245112497836532	Not sig
BraA02001799	102	78	109	210	223	224	0.00160024740158426	-1.18482387782165	Down
BraA02001800	29	30	41	14	28	22	0.0984436584247707	0.643856189774725	Not sig
BraA02001801	0.005	0.005	0.005	33	23	17	0.034881212607627	-12.2487182479336	Down
BraA02001802	129	105	129	294	346	417	0.0188851481777816	-1.54193392338693	Down
BraA02001806	5	1	2	3	1	1	0.517571465388921	0.678071905112637	Not sig
BraA02001808	5	1	4	0.005	3	2	0.331566005868614	0.998558025826094	Not sig
BraA02001811	771	701	827	646	764	789	0.592427027712144	0.0641588618632119	Not sig
BraA02001812	160	139	189	1084	1147	1457	0.0105536375868489	-2.91788560286645	Down
BraA02001813	42	26	19	71	100	89	0.00682657315096248	-1.57942431717973	Down
BraA02001814	230	183	204	96	138	107	0.007781318289562	0.855498750125245	Not sig
BraA02001815	3	5	1	10	15	14	0.00780042924048506	-2.11547721741994	Down
BraA02001816	73	36	64	141	152	175	0.0028981439109148	-1.43573649194668	Down
BraA02001817	42	38	46	77	90	113	0.0344585090115074	-1.15200309344505	Down
BraA02001818	3	3	4	16	3	10	0.23316303239723	-1.53605290024021	Not sig
BraA02001819	88	95	83	204	210	225	0.000320060451438983	-1.2643896854458	Down
BraA02001820	217	192.92	187	176	154	141.69	0.0376845714932314	0.339698577036352	Not sig
BraA02001826	0.005	0.005	0.005	14.09	8	8.38	0.0356466447929018	-10.9882112839653	Down
BraA02001832	0.005	1.5	0.5	0.005	0.005	0.5	0.378603813749571	1.97503308448342	Not sig
BraA02001833	44	42	41	55	72	52	0.105678833364501	-0.49513109049209	Not sig
BraA02001836	15	5	11	178	198	224	0.00353181488593866	-4.27462238010901	Down
BraA02001837	158	372	230	51	64	48	0.0860969966568277	2.22112745409987	Not sig
BraA02001838	1	1	0.005	14	19	17	0.0060134025010829	-4.64025395309453	Down
BraA02001839	35	5	14	476	635	590	0.00592335704394879	-4.97727992349992	Down
BraA02001840	34	47	73	1	1	2	0.0486542197344024	5.2667865406949	Up
BraA02001841	3	1	0.005	1	2	2	0.751608204268401	-0.320125852253377	Not sig
BraA02001842	223	260	270	170	166	231	0.0799806939930268	0.409301129729699	Not sig
BraA02001844	15	41	17	62	81	67	0.0142157620888808	-1.52442095878611	Down
BraA02001846	127	115	141	132	180	161	0.152652786829583	-0.304495791414438	Not sig
BraA02001847	0.005	0.005	0.005	1	0.005	1	0.183503419072274	-7.06249592573376	Not sig
BraA02001848	3	4	4	0.005	0.005	0.005	0.00818543813916675	9.51832530769087	Up
BraA02001849	16	2	23	0.005	6	5	0.24228137226611	1.89746476450125	Not sig
BraA02001850	1922.12	1203.14	2033.08	1040	1249	1053.23	0.137933242552382	0.626095850361639	Not sig
BraA02001851	647	651	640	933	1068	1047	0.0122290012640464	-0.653294332078241	Not sig
BraA02001852	170	152	169	57	80	63	0.0004890453038125	1.29572302453997	Up
BraA02001853	117	101	182	14	8	17	0.0385136957822991	3.35845397091248	Up
BraA02001854	113	134	88	52	77	44	0.0349913885660326	0.95338905770841	Not sig
BraA02001857	86	70	184	11	11	17	0.105924430370657	3.12398871727545	Not sig
BraA02001858	1	6	32	2	4	2	0.394718844362347	2.28540221886225	Not sig
BraA02001859	0.005	1	1	5	8	4	0.044840577044627	-3.08386060457014	Down
BraA02001860	3	3	1	13	12	12	0.000989836584583797	-2.40209844357135	Down
BraA02001861	1812	3000	1972	862	1075	1060	0.0724939436803945	1.17861708604962	Not sig
BraA02001862	109	61	50	123	165	131	0.0461759608240626	-0.929446720174692	Not sig
BraA02001864	0.005	0.005	0.005	0.005	2	5	0.249687889539567	-8.86727873970966	Not sig
BraA02001865	16	4	1	197	209	289	0.0143484547210649	-5.04855174483211	Down
BraA02001866	56	50	53	41	49	67	0.939656753662619	0.0182622063927283	Not sig
BraA02001867	40	36	45	136	167	155	0.00382843394910465	-1.92034055082235	Down
BraA02001870	1	5	0.005	0.005	1	0.005	0.3898002082866	2.57180895295384	Not sig
BraA02001873	3	3	8	1	0.005	0.005	0.116582859925927	3.79299962908053	Not sig
BraA02001874	106	67	142	49	89	99	0.387873426884937	0.41046476948902	Not sig
BraA02001875	20	23	19	30	34	15	0.43164141946017	-0.349584437790228	Not sig
BraA02001876	0.005	0.005	1	0.005	4	3	0.233311338504007	-2.79402975767902	Not sig
BraA02001877	2	6	3	0.005	0.005	0.005	0.0929544810203684	9.51832530769087	Not sig
BraA02001878	3	3	1	0.005	0.005	0.005	0.0731069712943862	8.86624861111117	Not sig
BraA02001880	1	1	3	36	38	39	1.03769268973628e-05	-4.49825086752783	Down
BraA02001881	199	125	289	368	310	409	0.0583213478036012	-0.826392961336528	Not sig
BraA02001883	21	27	25	91	89	101	0.000595704672847845	-1.94460176134091	Down
BraA02001884	6	25	8	29	41	50	0.0344211975499923	-1.62148837674627	Down
BraA02001886	0.005	0.005	0.005	85	154	217	0.057520710351181	-14.8917837032183	Not sig
BraA02001887	0.005	0.005	0.005	3	1	1	0.130246893897356	-8.38082178394093	Not sig
BraA02001889	0.005	0.005	0.005	2	2	4	0.0573878690738197	-9.05889368905357	Not sig
BraA02001890	4	6	2	54	65	109	0.0497684190757119	-4.24792751344359	Down
BraA02001892	17	27	26	0.005	6	6	0.0106398740050633	2.54371951848927	Up
BraA02001893	3	0.005	0.005	6	0.005	1	0.571230945200105	-1.21862156367112	Not sig
BraA02001894	36	25	27	65	106	82	0.0354947230959605	-1.52356195605701	Down
BraA02001896	43	27	38	60	145	94	0.118539536895917	-1.46911417203464	Not sig
BraA02001900	50	29	51	26	37	40	0.353966516631541	0.335867285845236	Not sig
BraA02001903	121	116	140	50	51	83	0.0110271638872787	1.03485875721165	Up
BraA02001904	0.005	0.005	0.005	2	2	0.005	0.183503419072274	-8.06069593168755	Not sig
BraA02001906	46	29	24	71	81	89	0.00589588688979558	-1.28353271615035	Down
BraA02001910	2640	2394	2984	467	565	363	0.0029172236993766	2.52297729543422	Up
BraA02001913	15	23	25	15	13	13	0.132659090504318	0.619727918881833	Not sig
BraA02001914	46	41	5	74	68	44	0.126662753568638	-1.01559685505102	Not sig
BraA02001915	22	12	22	17	35	30	0.254809923298335	-0.55019708256048	Not sig
BraA02001916	6	0.005	0.005	10	9	6	0.0661201079297341	-2.05649119883826	Not sig
BraA02001917	216	167	269	145	219	196	0.453838647458383	0.219445137286111	Not sig
BraA02001918	82	83	52	82	79	90	0.383441442831392	-0.209992321506293	Not sig
BraA02001922	4	4	7	3	3	8	0.873889685899647	0.0995356735509144	Not sig
BraA02001924	73	55	61	89	106	104	0.00824671121283175	-0.661759249977032	Not sig
BraA02001925	37	22	14	28	37	23	0.567403247673606	-0.26960705975728	Not sig
BraA02001927	47	88	53	8	7	5	0.0477588230690002	3.23266075679027	Up
BraA02001928	20	22	31	42	31	47	0.06040129315879	-0.717066036728501	Not sig
BraA02001929	18.38	19	19	10	21	11.65	0.313056198178416	0.402637736364769	Not sig
BraA02001930	219	190	443	436	530	584	0.0811070068069164	-0.863342879935762	Not sig
BraA02001931	6	6	2	14	21	14	0.0199995722750191	-1.8073549220576	Down
BraA02001932	25	26	36	56	42	47	0.0240137069588301	-0.736965594166206	Not sig
BraA02001933	599	441	554	219	320	191	0.010003967982659	1.12668326022309	Up
BraA02001934	69	64	53	101	165	150	0.0510069574465454	-1.16128090703306	Not sig
BraA02001935	1	2	0.005	0.005	1	0.005	0.386643207845422	1.57300969795939	Not sig
BraA02001936	243	277	508	130	133	152	0.13258377294405	1.30865702295959	Not sig
BraA02001938	73	67	66	259	304	336	0.00872275136433595	-2.12567677833123	Down
BraA02001939	121	230	142	55	55	73	0.0860764409580015	1.42974399809387	Not sig
BraA02001940	8	10	11	3	6	2	0.0187267149062358	1.39854937649027	Up
BraA02001941	15	11	13	26	43	56	0.0783586711855099	-1.68038206579984	Not sig
BraA02001943	36	21	19	45	45	31	0.103858980506423	-0.670935723831009	Not sig
BraA02001944	0.005	0.005	0.005	1	5	7	0.133582546120996	-9.75933340719466	Not sig
BraA02001945	0.005	2	4	0.005	0.005	0.005	0.225532721242951	8.64505793498448	Not sig
BraA02001946	138	158	171	176	241	279	0.115577891733424	-0.575664756139067	Not sig
BraA02001947	348	302	430	450	545	589	0.0393772351468613	-0.552541023028779	Not sig
BraA02001948	23	7	13	698	1008	1370	0.034901682591848	-6.16057503325973	Down
BraA02001949	133	107	161	97	181	184	0.574594717357697	-0.204290614961137	Not sig
BraA02001951	254	87	96.02	156.01	223.03	133.05	0.707856531461378	-0.2286980812286	Not sig
BraA02001952	2	1	0.005	2	4	2	0.133262626581804	-1.41263500906354	Not sig
BraA02001956	4	1	0.005	209	193	291	0.0169482890693698	-7.11334147307594	Down
BraA02001957	34	19	21	28	27	20	0.954025291483405	-0.0193653248669311	Not sig
BraA02001958	46	14	7	235	411	362	0.0222724145389592	-3.91119073304214	Down
BraA02001961	65	55	74	54	67	59	0.527034319845079	0.108059745857453	Not sig
BraA02001962	2	14	4	16	22	72	0.229878184904154	-2.4594316186373	Not sig
BraA02001970	110	27	81	165	268	359	0.0590834656510066	-1.86117229530268	Not sig
BraA02001972	65	79	107.15	87	80	89	0.909365481043508	-0.0275945352155329	Not sig
BraA02001975	55	71	100	46	56	62	0.253029695653315	0.462626957797104	Not sig
BraA02001978	1	5	0.005	1	2	1	0.707251830374923	0.586164245930909	Not sig
BraA02001979	1	0.005	1	2	0.005	1	0.648507896794981	-0.583762754256265	Not sig
BraA02001980	0.005	0.005	0.005	70	82	106	0.0148094820964098	-14.0701209444768	Down
BraA02001981	10	4	9	11	6	2	0.700212308220416	0.275634442613428	Not sig
BraA02001982	14	27	12	1	1	1	0.0712029790410786	4.14295795384204	Not sig
BraA02001983	99	90	91	89	97	105	0.543208465643058	-0.0555923259633175	Not sig
BraA02001984	312.15	251	104	7	8	7	0.0735124276727176	4.92243574023315	Not sig
BraA02001986	0.005	0.005	0.005	1	1	0.005	0.183503419072274	-7.06249592573376	Not sig
BraA02001987	2	0.005	0.005	1	2	1	0.439337308732937	-0.992804498595796	Not sig
BraA02001989	1.49	3	3	4.99	5	8	0.0535940836785449	-1.26415756279273	Not sig
BraA02001990	63.14	66.99	77.92	2	2	1	0.00407799986943748	5.37885838327003	Up
BraA02001992	62.86	97.01	101.08	0.005	0.005	0.005	0.0188654418646687	14.0865232807867	Up
BraA02001993	23	20	23	13	12	17	0.0164050530597457	0.652076696579693	Not sig
BraA02001994	0.005	0.005	0.005	13	16	14	0.00376707908864977	-11.4851584437557	Down
BraA02001995	62	36	47	24	41	19	0.114286565871778	0.787591667236174	Not sig
BraA02001996	3	3	1	5	7	7	0.0132355995636827	-1.44057259138598	Down
BraA02002000	13.5	5.5	3.5	2	4	1.5	0.239551322507249	1.58496250072116	Not sig
BraA02002002	104	56	91	8	4	2	0.0297985209165389	4.16418863189317	Up
BraA02002003	247	139	159	69	85	56	0.0701451985466564	1.37586690199817	Not sig
BraA02002004	98	136	104	67	109	102	0.318530825288037	0.281938363558677	Not sig
BraA02002006	4	3.5	9.5	3	2	2	0.222510111410074	1.28010791919274	Not sig
BraA02002007	156	207	199	67	105	89	0.00885252890827562	1.10652032365104	Up
BraA02002008	39	41	36	1	0.005	0.005	0.000885196158363774	6.8436257021505	Up
BraA02002010	1	1	0.005	0.005	0.005	1	0.518518518518518	0.989246943703126	Not sig
BraA02002011	0.005	2	0.005	25	18	10	0.0562194379586259	-4.72072495315899	Not sig
BraA02002012	1	0.005	0.005	2	0.005	1	0.386643207845422	-1.57300969795939	Not sig
BraA02002013	14	11	14	11	18	21	0.342301381633035	-0.358453970912476	Not sig
BraA02002014	0.005	1	1	0.005	0.005	0.005	0.183503419072274	7.06249592573376	Not sig
BraA02002017	0.005	2	0.005	43	156	158	0.0894723163441046	-7.4725847626249	Not sig
BraA02002018	2	3	1	4	5	4	0.0356526626764181	-1.11547721741994	Down
BraA02002019	958.53	522.98	565	373	440	324.08	0.154139985193227	0.847831956791297	Not sig
BraA02002022	113	38	34	116	146	179	0.059906490234781	-1.25325338504121	Not sig
BraA02002023	1	0.005	1	1	7	8	0.163682980755889	-2.9963977633198	Not sig
BraA02002024	0.005	0.005	0.005	1	3	0.005	0.270069503221121	-8.06069593168755	Not sig
BraA02002025	9	1	8	180	151	181	0.00218782044980609	-4.83007499855769	Down
BraA02002027	13	17	6	124	158	202	0.0203653281146604	-3.74893823583228	Down
BraA02002028	103	87	91	57	92	109	0.672971062837097	0.123199064797672	Not sig
BraA02002029	408	345	426	362	472	464	0.415293535146024	-0.138726665019376	Not sig
BraA02002031	12	17	7	0.005	0.005	0.005	0.0533279129414111	11.2288186904959	Not sig
BraA02002033	0.005	1.55	4	12.39	16.52	46.08	0.159373200883155	-3.75483940671763	Not sig
BraA02002036	317	298	323.97	301	343	350	0.364199011366979	-0.0821667871381482	Not sig
BraA02002037	2	0.005	13.03	0.005	0.005	0.005	0.341893606822848	9.96914665185285	Not sig
BraA02002039	0.005	1	2	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA02002040	0.005	0.005	0.005	1	0.005	1	0.183503419072274	-7.06249592573376	Not sig
BraA02002041	1	3	4	0.005	0.005	0.005	0.094483921353394	9.05889368905357	Not sig
BraA02002042	61	54	62	54	91	74	0.319551481175269	-0.307181509518176	Not sig
BraA02002044	3	11	4	1	12	11	0.669833693560807	-0.415037499278844	Not sig
BraA02002046	7	10	37	0.005	2	6	0.246956023189989	2.75398609942194	Not sig
BraA02002047	0.005	0.005	0.005	9	15	16	0.025856595547201	-11.3808217839409	Down
BraA02002049	2	1	3	0.005	0.005	0.005	0.074511615983958	8.64385618977473	Not sig
BraA02002050	15	13	25	1	0.005	0.005	0.0419707450365664	5.71356516158613	Up
BraA02002051	190	181	194	321	504	572	0.0655282073311415	-1.30600924810691	Not sig
BraA02002053	30	28	27	76	100	123	0.0338568106493405	-1.8146107380604	Down
BraA02002057	194	219	279	60	85	65	0.0170481350980182	1.7203827099706	Up
BraA02002060	5	3	4	1	4	1	0.175936447137475	1	Not sig
BraA02002061	48	55	57	33	39	43	0.0198635271125836	0.476438043942987	Not sig
BraA02002062	188	182	196	143	153	135	0.00298068552681388	0.393114183742784	Not sig
BraA02002063	109	60	79	69	129	123	0.369038099188772	-0.372233176735428	Not sig
BraA02002066	391.31	380.78	457.94	120.45	131.73	127.31	0.00640320388333934	1.69655972824642	Up
BraA02002067	1.69	12.22	5.06	4.55	3.27	2	0.431158960817367	0.949924749096783	Not sig
BraA02002069	7	5	10	4	3	2	0.0810715882896612	1.28950661719498	Not sig
BraA02002071	4	0.005	5	4	1	0.005	0.5319677083334	0.847356207070282	Not sig
BraA02002074	0.005	0.005	3	24	47	56	0.0478575104227945	-5.39892119978719	Down
BraA02002075	12	25	9	13	12	11	0.568032269291365	0.353636954614701	Not sig
BraA02002078	204	182	202	217	268	282	0.0809261078223024	-0.383410422666569	Not sig
BraA02002079	3	5	2	0.005	1	2	0.102173865215808	1.7345631039509	Not sig
BraA02002080	1	1	0.005	0.005	0.005	0.005	0.183503419072274	7.06249592573376	Not sig
BraA02002082	347	253	220	137	201	117	0.0650905198823183	0.849757364419387	Not sig
BraA02002083	237	242	260	203	247	251	0.511402860808378	0.0761599201355277	Not sig
BraA02002084	146	129	172	218	246	317	0.0472564542235993	-0.805047716958662	Not sig
BraA02002085	74	45	57	53	57	78	0.744359215288485	-0.0951572330403401	Not sig
BraA02002086	18	8	7	5	7	10	0.413825589229872	0.584962500721156	Not sig
BraA02002088	8	12	10	27	56	30	0.0929726624367635	-1.91328836680667	Not sig
BraA02002090	211	155	164	332	409	402	0.00357548378220718	-1.10876113876392	Down
BraA02002091	78	78	55	235	313	264	0.00742593761703419	-1.94423672847799	Down
BraA02002092	0.005	2	3	4	0.005	2	0.830299805568256	-0.262794176869641	Not sig
BraA02002093	17	19	35	42	61	83	0.0648837965562878	-1.38941169160335	Not sig
BraA02002094	5	0.005	4	2	6	1	0.999421052488691	0.000801274689238746	Not sig
BraA02002096	156	91	66	268	311	277	0.00989561760368328	-1.45144813946853	Down
BraA02002097	76	77	74	81	77	97	0.26490161291193	-0.167804949567943	Not sig
BraA02002099	38	6	5	67	287	145	0.141662492846475	-3.34818616122205	Not sig
BraA02002100	3	10	8	2	7	6	0.485444346279034	0.485426827170242	Not sig
BraA02002101	366	200	280	244	263	262	0.646919588515381	0.137674065158123	Not sig
BraA02002102	10.24	7.7	11.98	12.75	14.94	14.4	0.0622706122907252	-0.492367334453419	Not sig
BraA02002103	10	4	0.005	29	25	15	0.0272684410493673	-2.30065437847839	Down
BraA02002105	32	37	19	20	8	16	0.0948104478383041	1	Not sig
BraA02002106	7	5	1	161	91	124	0.026052597122143	-4.85414913353654	Down
BraA02002107	141	126	115	110	127	111	0.297082300757112	0.13448533218702	Not sig
BraA02002108	69	91	186	62	86	88	0.415790321280724	0.551985178274883	Not sig
BraA02002110	8	5	7	48	57	78	0.0247878892642259	-3.19377174339668	Down
BraA02002111	22	11	14	14	26	12	0.77679800454591	-0.145850866463455	Not sig
BraA02002112	9	3	1	0.005	0.005	0.005	0.213550422681187	9.75933340719466	Not sig
BraA02002113	1305.24	1037.56	1432.87	482.72	710.46	560	0.0131334092383228	1.10675855016941	Up
BraA02002115	17	3	7	57	86	68	0.00802537558621241	-2.96621168654372	Down
BraA02002118	0.005	0.005	0.005	2.64	0.005	4	0.200157744258657	-8.79116288855502	Not sig
BraA02002120	53	26	39	92	136	120	0.0115625243269251	-1.56030044648689	Down
BraA02002121	0.005	29	259	56	57	30	0.615693951627354	1.01007871123541	Not sig
BraA02002122	109	141	150	4	10	6	0.00848619855845527	4.32192809488736	Up
BraA02002123	37	65	46	50	111	126	0.175155506192673	-0.955453561046738	Not sig
BraA02002124	0.005	0.005	0.005	114	141	147	0.00568777542781879	-14.7099453802325	Down
BraA02002125	21	5	8	0.005	2	5	0.202002702860018	2.27907779059425	Not sig
BraA02002126	19	35	34	16	31	46	0.878484945166831	-0.0797271924707342	Not sig
BraA02002128	35	15	16	4	4	4	0.10959436998038	2.4594316186373	Not sig
BraA02002130	83	61	41	53	59	72	0.981758791831437	0.00781950445929913	Not sig
BraA02002139	202	171	165	824	778	851	0.000101722502673125	-2.18886915600098	Down
BraA02002140	43	47	55	49	61	75	0.211548076297137	-0.351472370501377	Not sig
BraA02002143	2.5	2.46	2	0.5	2.46	6.5	0.684057591395788	-0.442752877490667	Not sig
BraA02002144	2.5	2.46	2	0.5	2.46	6.5	0.684057591395788	-0.442752877490667	Not sig
BraA02002145	4	2	13	27	42	38	0.00782343285504519	-2.49353947295756	Down
BraA02002146	2	1	3	45	96	37	0.0899179205821998	-4.89077093024524	Not sig
BraA02002148	122	130	84	83	245	257	0.274560367808277	-0.799975391692007	Not sig
BraA02002149	36	29	30	30	34	29	0.816276048718373	0.0306967972229164	Not sig
BraA02002150	146	223.09	175.19	29.83	44.61	36.67	0.0203212753567216	2.29236035764171	Up
BraA02002151	81	84	57	71	63	61	0.407242276788722	0.187085552600495	Not sig
BraA02002152	155	185	165	160	233	225	0.23982538285286	-0.291323450265217	Not sig
BraA02002154	155	692	665	39	119	117	0.139235311333741	2.45895461580905	Not sig
BraA02002155	41	62	89	0.005	1	4	0.0453201201038159	5.26159243165989	Up
BraA02002156	18	10	12	17	23	19	0.107055953445235	-0.560714954474479	Not sig
BraA02002157	3	3	12	0.005	3	1	0.256476389400401	2.16812275880833	Not sig
BraA02002158	9	6	8	4	0.005	3	0.0267419113280922	1.71517690540092	Up
BraA02002159	662	785.34	818.82	435	592	557	0.0279026799634499	0.516677389402665	Not sig
BraA02002161	4	2	8	6	14	12	0.120792395830317	-1.1926450779424	Not sig
BraA02002162	30	34	30	72	90	72	0.0129024820863287	-1.31577586790577	Down
BraA02002163	36	25	21	20	23	9	0.181275063028294	0.657112286476991	Not sig
BraA02002165	2	1	0.005	4	8	14	0.113575185547306	-3.11307472720463	Not sig
BraA02002168	10	4	4	24.94	42	38	0.0193155411830563	-2.54349588342577	Down
BraA02002169	14	18	6	173	170	215	0.00484735735767152	-3.8761937983856	Down
BraA02002170	558	535	565	378	416	447	0.00980313927362965	0.417940891365394	Not sig
BraA02002174	181	113	193	60	83	57	0.0500632278854602	1.28392177230762	Not sig
BraA02002175	325	286	347	337	356	362	0.203826267648174	-0.139145437858367	Not sig
BraA02002176	22	13	17	9	7	5	0.0413585475194137	1.30812229536233	Up
BraA02002177	5	4	6	4	10	1	1	0	Not sig
BraA02002178	16	24	12	17	12	9	0.340473758160784	0.452512204697507	Not sig
BraA02002180	12	14	21	20	19	22	0.223586065472275	-0.376148485885249	Not sig
BraA02002181	25	21	33	25	28	24	0.871721060397435	0.0369942074822016	Not sig
BraA02002184	8	38	23	4	14	10	0.251036239986475	1.30116953472056	Not sig
BraA02002185	38	52	75	518	614	791	0.0167105045104589	-3.54282083309408	Down
BraA02002186	830	854	947	219	270	179	0.000207954755358036	1.97769124069184	Up
BraA02002190	1060	559	1361	108.5	111.5	53	0.0601977355869223	3.44833947442967	Not sig
BraA02002191	1060	559	1361	108.5	111.5	53	0.0601977355869223	3.44833947442967	Not sig
BraA02002194	0.005	0.005	0.005	1	0.005	4	0.300231439459847	-8.38226375811484	Not sig
BraA02002196	2	1	0.005	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA02002197	23	27	49	38	23	30	0.789817102079833	0.121561979880914	Not sig
BraA02002198	5	4	10	1	3	2	0.134845205624046	1.66296501272243	Not sig
BraA02002199	3	2	5	0.005	0.005	0.005	0.0635870584786632	9.38082178394093	Not sig
BraA02002200	1384	1422	1977	266	369	311	0.0196908122818505	2.33800370264691	Up
BraA02002203	0.005	0.005	0.005	2	6	0.005	0.26988610504959	-9.0597950917951	Not sig
BraA02002204	0.005	0.005	0.005	0.005	2	1	0.225662696077777	-7.64625867999003	Not sig
BraA02002205	48	38	23	53	52	43	0.208231170869534	-0.441269040852023	Not sig
BraA02002206	39	31	43	31	47	40	0.789814230947971	-0.0624640869466537	Not sig
BraA02002207	42	45	37	25	30	19	0.0160805864898158	0.744742944757925	Not sig
BraA02002209	54	35	39	44	39	36	0.667550759131073	0.105182236692056	Not sig
