	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA04002025	89	92	42	191	203	193	0.0137814001736852	-1.39631679318975	Down
BraA04002026	67	53	53	54	53	47	0.31117430113024	0.167841686941823	Not sig
BraA04002027	94	81	63	235	290	255	0.00185517869412865	-1.71251255044167	Down
BraA04002028	88	79	97	190	287	226	0.0319140511757507	-1.41298675971408	Down
BraA04002029	53	21	41	30	46	38	0.976523610206574	0.0126000367796336	Not sig
BraA04002030	2	1	1	0.005	0.005	1	0.10139614421257	1.98564470702293	Not sig
BraA04002032	626	516	585	342	882	506	0.99562563015755	-0.00250395499516268	Not sig
BraA04002035	13	5	10	18	33	7	0.314745308068236	-1.05062607306997	Not sig
BraA04002039	0.005	0.005	0.005	1	1	6	0.251348499617916	-9.05889368905357	Not sig
BraA04002041	29	17.5	4.5	631.5	862.5	1188.5	0.0320830542806177	-5.71693711367239	Down
BraA04002042	0.005	0.005	0.005	27.01	30.19	19.9	0.0137264101777603	-12.3275526440812	Down
BraA04002043	37	22	23	76	85	49	0.041808591124473	-1.35669351304804	Down
BraA04002044	36	10	31	29	51	31	0.346882989383377	-0.527629325655205	Not sig
BraA04002045	14	16	27	18	21	16	0.888263258884499	0.0515303006400821	Not sig
BraA04002046	284	245	330	118	157	133	0.0135602577899509	1.07408897916697	Up
BraA04002047	85	68	68	46	68	60	0.142669552951845	0.344959063542703	Not sig
BraA04002048	103	71	75	70	106	91	0.70033208825502	-0.100693999619473	Not sig
BraA04002051	11.5	14	22	46.5	44	27.5	0.0390701154613768	-1.31278744103089	Down
BraA04002052	11.5	14	22	46.5	44	27.5	0.0390701154613768	-1.31278744103089	Down
BraA04002054	1	2	0.005	3	5	4	0.021264168741125	-1.9975975097847	Down
BraA04002056	64	120	137	1	1	1	0.0406617800034223	6.74146698640115	Up
BraA04002058	0.005	0.005	0.005	14	13	13	0.000624882807630762	-11.3808217839409	Down
BraA04002061	1	1	0.005	0.005	0.005	0.005	0.183503419072274	7.06249592573376	Not sig
BraA04002064	22	35	41	10	16	10	0.0532620144621164	1.4447848426729	Not sig
