	CK-1	CK-2	CK-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA01000157	25	35	26	43	36	30	0.196201914371619	-0.341919570074829	Not sig
BraA01000159	15	13	46	206	170	194	0.000389026350821606	-2.94536474342315	Down
BraA01000160	0.005	0.005	0.005	91.29	55.59	15.26	0.132985133932621	-13.3999899270112	Not sig
BraA01000161	0.005	0.005	0.005	377.71	200.41	99.74	0.108647049311448	-15.463737219798	Not sig
BraA01000163	377	282	1582	287	229	352	0.388179966995464	1.36837570106591	Not sig
BraA01000164	2	4	23	107	105	56	0.0279979784474638	-3.2081081953302	Down
BraA01000165	1964	1900	193	14	22	8	0.147485401818776	6.52676596856898	Not sig
BraA01000166	1	0.005	2	162	179	206	0.00488420952401303	-7.5080320318561	Down
BraA01000167	9	17	26	0.005	3.06	0.005	0.0742913298668624	4.08220106254564	Not sig
BraA01000170	244	262	199	90	125	117	0.00892774087298772	1.08644001593923	Up
BraA01000171	29	38	34	131	190	222	0.0301925355518958	-2.42659690505257	Down
BraA01000172	0.005	0.005	0.005	1	1	0.005	0.183503419072274	-7.06249592573376	Not sig
BraA01000173	1	2	0.005	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA01000174	397	504	473	1115	1204	1648	0.0306854641316196	-1.52966639332718	Down
BraA01000176	168	243	329.62	226	255	454	0.497277314649745	-0.336232855848248	Not sig
BraA01000178	7	19	36	39	44	29	0.176928103307281	-0.853158611670729	Not sig
BraA01000179	10	5	5	4	11	1	0.719925166003951	0.321928094887363	Not sig
BraA01000180	190	245	179	126	170	125	0.0692120354036282	0.544418422303783	Not sig
BraA01000181	28	31	21	20	14	14	0.0478965995388045	0.736965594166206	Not sig
BraA01000185	59	66	161	142	183	171	0.156391900154815	-0.794324973608486	Not sig
BraA01000186	3	7	2	1	1	2	0.219258960512153	1.58496250072116	Not sig
BraA01000187	3	1	10	0.005	0.005	0.005	0.229660978199983	9.86624861111117	Not sig
BraA01000189	447	521	485	460	521	503	0.731259124117609	-0.0304563889879622	Not sig
BraA01000190	37	36	49	465	471	483	6.67218784073094e-07	-3.53992153649767	Down
BraA01000191	46	46	70	151	202	208	0.00874005500044391	-1.79200695772417	Down
BraA01000192	1	1	1	1	0.005	0.005	0.183503419072274	1.57060720774409	Not sig
BraA01000195	3	2	3	33	11	8	0.203616235193501	-2.70043971814109	Not sig
BraA01000196	63	75	76	115	122	139	0.00577704494916309	-0.81312186527649	Not sig
BraA01000197	10	8	20	7	5	3	0.16642682997146	1.34103691783507	Not sig
BraA01000199	28	46	49	29	34	30	0.264050942848168	0.403355694231208	Not sig
BraA07001021	134	40.5	33.5	4816.5	6187	6188	0.00624666716858591	-6.36896809035171	Down
